# Users
qw,0
we,0
1,0
2,0
3,0
4,0
# Incomes,
# Expenses,
# Incomes,
# Expenses,
# Incomes,
1,1,1
# Expenses,
# Incomes,
2,2,2
# Expenses,
# Incomes,
3,3,3
# Expenses,
# Incomes,
# Expenses,

# Incomes for qw

# Expenses for qw

# Incomes for we

# Expenses for we

# Incomes for 1

# Expenses for 1

# Incomes for 2

# Expenses for 2

# Incomes for 3

# Expenses for 3

# Incomes for 4

# Expenses for 4

# Incomes for # Incomes

# Expenses for # Incomes

# Incomes for # Expenses

# Expenses for # Expenses

# Incomes for # Incomes

# Expenses for # Incomes

# Incomes for # Expenses

# Expenses for # Expenses

# Incomes for # Incomes

# Expenses for # Incomes

# Incomes for 1

# Expenses for 1

# Incomes for # Expenses

# Expenses for # Expenses

# Incomes for # Incomes

# Expenses for # Incomes

# Incomes for 2

# Expenses for 2

# Incomes for # Expenses

# Expenses for # Expenses

# Incomes for # Incomes

# Expenses for # Incomes

# Incomes for 3

# Expenses for 3

# Incomes for # Expenses

# Expenses for # Expenses

# Incomes for # Incomes

# Expenses for # Incomes

# Incomes for # Expenses

# Expenses for # Expenses
